;grp_raw;grp;item_class;item_ord_cor;item_cor
4992;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Strombus gallus
4993;Gastropods;Gastropoda;Gastropoda;Trochida;Turbinidae
4995;Gastropods;Gastropoda;Gastropoda;NA;Acmaea antillarum
4998;Gastropods;Gastropoda;Gastropoda;Trochida;Astraea longispina
4999;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Strombus sp
5000;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Caecum sp
5001;Gastropods;Gastropoda;Gastropoda;NA;Planaxis lineatus
5002;Gastropods;Gastropoda;Gastropoda;Lepetellida;Fissurella barbadensis
5004;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Zebina browniana
5005;Gastropods;Gastropoda;Gastropoda;Pleurotomariida;Schismope sp
5013;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Vasum muricatum
5014;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Caecum pulchellum
5015;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Natica canrena
5016;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Nitidella nitida
5021;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Olivella sp
5025;Gastropods;Gastropoda;Gastropoda;Lepetellida;Diodora viridula
5027;Gastropods;Gastropoda;Gastropoda;Lepetellida;Diodora sp
5028;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Nassarius sp
5029;Gastropods;Gastropoda;Gastropoda;Trochida;Cittarium pica
5030;Gastropods;Gastropoda;Gastropoda;Cephalaspidea;Retusa sp
5031;Pelecypods;Bivalvia;Bivalvia;Veneroida;Pitar sp
5035;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Crucibulum auricula
5036;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Caecum nitidum
5037;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Mitrella lunata
5040;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Anachis sp
5041;Gastropods;Gastropoda;Gastropoda;NA;Litiopa melanostoma
5043;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Rissoina cancellata
5044;Gastropods;Gastropoda;Gastropoda;NA;Alcididae
5045;Gastropods;Gastropoda;Gastropoda;Trochida;Turbo castanea
5047;Gastropods;Gastropoda;Gastropoda;Trochida;Tricolia tessellata
5048;Gastropods;Gastropoda;Gastropoda;NA;Turbonilla sp
5049;Gastropods;Gastropoda;Gastropoda;NA;Acmaea leucopleura
5050;Gastropods;Gastropoda;Gastropoda;Nudibranchia;Nudibranchia
5052;Gastropods;Gastropoda;Gastropoda;Lepetellida;Hemitoma octoradiata
5053;Gastropods;Gastropoda;Gastropoda;Trochida;Tricolia adamsi
5054;Gastropods;Gastropoda;Gastropoda;Trochida;Synaptocochlea picta
5055;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Littorina angulifera
5056;Gastropods;Gastropoda;Gastropoda;Cephalaspidea;Atys sp
5060;Gastropods;Gastropoda;Gastropoda;Siphonariida;Siphonaria sp
5067;Gastropods;Gastropoda;Gastropoda;Trochida;Calliostoma javanicum
5068;Gastropods;Gastropoda;Gastropoda;Cycloneritida;Smaragdia picta
5069;Gastropods;Gastropoda;Gastropoda;NA;Seila adamsi
5070;Gastropods;Gastropoda;Gastropoda;NA;Cerithium eburneum
5071;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Persicula lavalleeana
5072;Gastropods;Gastropoda;Gastropoda;Trochida;Pseudostomatella coccinea
5078;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Nassarius albus
5082;Gastropods;Gastropoda;Gastropoda;Ostreoida;Crassostrea rhizophorae
5084;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Purpura patula
5086;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Littorina meleagris
5087;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Cymatium labiosum
5091;Gastropods;Gastropoda;Gastropoda;Lepetellida;Emarginula pumila
5093;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Hyalina avena
5096;Gastropods;Gastropoda;Gastropoda;NA;Epitonium turritellulum
5098;Gastropods;Gastropoda;Gastropoda;NA;Bittium varium
5100;Gastropods;Gastropoda;Gastropoda;NA;Echinospira
5104;Gastropods;Zooplankton;Gastropoda;Pteropoda;Pteropoda
5107;Gastropods;Gastropoda;Gastropoda;NA;Cerithium litteratum
5108;Gastropods;Gastropoda;Gastropoda;Lepetellida;Fissurella nodosa
5109;Gastropods;Gastropoda;Gastropoda;Trochida;Arene tricarinata
5110;Gastropods;Gastropoda;Gastropoda;NA;Tridachia crispata
5115;Gastropods;Gastropoda;Gastropoda;NA;Cerithium algicola
5119;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Anachis sparsa
5123;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Alvania auberina
5124;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Littorina ziczac
5125;Gastropods;Gastropoda;Gastropoda;Trochida;Tegula fasciata
5127;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Nitidella ocellata
5133;Gastropods;Gastropoda;Gastropoda;Cephalaspidea;Bulla striata
5137;Gastropods;Gastropoda;Gastropoda;NA;Cerithiopsis emersoni
5140;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Nitidella laevigata
5145;Gastropods;Gastropoda;Gastropoda;Lepetellida;Diodora listeri
5147;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Rissoina sp
5153;Gastropods;Gastropoda;Gastropoda;Trochida;Pseudostomatella erythrocoma
5158;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Mangelia sp
5160;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Fasciolaria tulipa
5161;Gastropods;Gastropoda;Gastropoda;NA;Batillaria sp
5166;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Bullata ovuliformis
5168;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Drillia sp
5170;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Coralliophila caribaea
5178;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Olivella petiolita
5179;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Crassispira nigrescens
5180;Gastropods;Gastropoda;Gastropoda;Cephalaspidea;Atys riiseana
5185;Gastropods;Gastropoda;Gastropoda;Cephalaspidea;Haminoea elegans
5194;Gastropods;Gastropoda;Gastropoda;Trochida;Calliostoma sp
5195;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Columbellidae
5196;Gastropods;Gastropoda;Gastropoda;Trochida;Astraea sp
5197;Gastropods;Gastropoda;Gastropoda;Trochida;Astraea caelata
5198;Gastropods;Gastropoda;Gastropoda;Lepetellida;Diodora variegata
5201;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Conus juliae
5207;Gastropods;Gastropoda;Gastropoda;Cycloneritida;Nerita peloronta
5210;Pelecypods;Bivalvia;Bivalvia;Veneroida;Ervilia nitens
5215;Gastropods;Gastropoda;Gastropoda;Cephalaspidea;Bulla sp
5220;Gastropods;Gastropoda;Gastropoda;NA;Acteonidae
5228;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Petaloconchus sp
5229;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Mitra sp
5230;Gastropods;Gastropoda;Gastropoda;Lepetellida;Fissurella augusta
5237;Gastropods;Gastropoda;Gastropoda;Cycloneritida;Smaragdia viridis
5244;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Daphnella lymneiformis
5245;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Pyrgocythara sp
5248;Gastropods;Zooplankton;Gastropoda;Pteropoda;Cavolina sp
5249;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Cyclostremiscus ornatus
5250;Bivalvia;Bivalvia;Bivalvia;NA;Bivalvia
5255;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Mitra barbadensis
5258;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Olivella nivea
5260;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Sinum perspectivum
5261;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Mitrella nitens
5262;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Cymatium sp
5266;Gastropods;Gastropoda;Gastropoda;Ellobiida;Melampus coffeus
5274;Amphiopods;Amphipoda;Malacostraca;Amphipoda;Elasmopus sp
5280;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Polinices lacteus
5286;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Tonna sp
5287;Gastropods;Gastropoda;Gastropoda;Lepetellida;Diodora cayenensis
5290;Sipunculids;Sipuncula;Phascolosomatidea;Aspidosiphonida;Aspidosiphon sp
5292;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Trivia sp
5294;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Crassispira fuscescens
5295;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Marginella sp
5304;Gastropods;Zooplankton;Gastropoda;Pteropoda;Cavolina longirostris
5307;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Muricidae
5308;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Risomurex roseus
5316;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Pusia sp
5318;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Naticidae
5319;Gastropods;Gastropoda;Gastropoda;Neogastropoda;Oliva reticularis
5322;Gastropods;Gastropoda;Gastropoda;NA;Pyramidella candida
5326;Gastropods;Gastropoda;Gastropoda;Trochida;Tegula excavata
5332;Gastropods;Gastropoda;Gastropoda;Trochida;Turbo sp
5334;Gastropods;Gastropoda;Gastropoda;Littorinimorpha;Hipponix subrufus
5335;Gorgonians;Alcyonaria;Anthozoa;Alcyonacea;Alcyonacea
5336;Gorgonians;Alcyonaria;Anthozoa;Alcyonacea;Gorgonia flabellum
5337;Gorgonians;Alcyonaria;Anthozoa;Alcyonacea;Muricea laxa
5342;Gorgonians;Alcyonaria;Anthozoa;Alcyonacea;Plexaura flexcuosa
5343;Gorgonians;Alcyonaria;Anthozoa;Alcyonacea;Eunicea calyculata
5346;Gorgonians;Alcyonaria;Anthozoa;Alcyonacea;Muricea sp
5347;Gorgonians;Alcyonaria;Anthozoa;Alcyonacea;Pterogorgia sp
5349;Greenfilaments_unid;NA;NA;NA;NA
5351;Gurry;NA;Actinopterygii;NA;Gurry
5361;Hemichordates;Hemichordata;NA;NA;Hemichordata
5366;Hemichordates;Hemichordata;Enteropneusta;NA;Enteropneusta
5368;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Calcinus tibicen
5369;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Paguroidea
5371;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Paguristes sp
5373;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Clibanarius tricolor
5378;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Paguristes anomalus
5380;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Paguristes grayi
5381;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Diogenidae
5387;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Calcinus sulcatus
5390;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Clibanarius sp
5392;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Paguristes wassi
5393;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Petrochirus diogenes
5398;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Spiropagurus sp
5403;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Dardanus venosus
5405;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Pagurus miamensis
5417;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Pagurus bonairensis
5422;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Calcinus sp
5426;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Coenobita sp
5432;Hermit_crab;Paguroidea;Malacostraca;Decapoda;Paguristes depressus
5434;Heteropods;Arachnida;Arachnida;Araneae;Heteropoda
5438;Holothurians;Holothuria;Holothuroidea;NA;Holothuroidea
5441;Holothurians;Holothuria;Holothuroidea;Aspidochirotida;Holothuria sp
5444;Holothurians;Holothuria;Holothuroidea;Aspidochirotida;Holothuria arenicola
5446;Holothurians;Holothuria;Holothuroidea;Dendrochirotida;Thyone pseudofusus
5452;Holothurides;Holothuria;Holothuroidea;NA;Holothuroidea
5470;Hydraires;Hydrozoa;Hydrozoa;NA;Hydrozoa
5518;Hydroids;Hydrozoa;Hydrozoa;NA;Hydrozoa
5533;Hydroids_frags;Hydrozoa;Hydrozoa;NA;Hydrozoa
5534;Hydrozoans;Hydrozoa;Hydrozoa;NA;Hydrozoa
5540;Hydrozoans;Hydrozoa;Hydrozoa;Anthoathecata;Pennaria sp
5545;Hydrozoans;Hydrozoa;Hydrozoa;Anthoathecata;Millepora alcicornis
5549;Hydrozoans;Hydrozoa;Hydrozoa;Leptothecata;Sertularia sp
5550;Insecta;Insecta;Insecta;NA;Insecta
5563;Insecta;Insecta;Insecta;Hymenoptera;Hymenoptera
5569;Insecta;Insecta;Insecta;Diptera;Diptera
5584;Insecta;Insecta;Insecta;Coleoptera;Coleoptera
5616;Insecta;Insecta;Insecta;NA;Insecta
5617;Isopods;Isopoda;Malacostraca;Isopoda;Isopoda
5618;Isopods;Isopoda;Malacostraca;Isopoda;Paracerceis caudata
5625;Isopods;Isopoda;Malacostraca;Isopoda;Flabellifera
5630;Isopods;Isopoda;Malacostraca;Isopoda;Stenetrium sp
5631;Isopods;Isopoda;Malacostraca;Isopoda;Gnathiidae
5632;Isopods;Isopoda;Malacostraca;Isopoda;Sphaeromatidae
5667;Isopods;Isopoda;Malacostraca;Isopoda;Cymothoidae
5711;Isopods;Isopoda;Malacostraca;Isopoda;Anthuridae
5749;Isopods;Isopoda;Malacostraca;Isopoda;Corallanidae
5775;Isopods;Isopoda;Malacostraca;Isopoda;Asellote sp
5776;Isopods;Isopoda;Malacostraca;Isopoda;Excorallana antillensis
5794;Isopods;Isopoda;Malacostraca;Isopoda;Cymodoce sp
5809;Isopods;Isopoda;Malacostraca;Isopoda;Excorallana sp
5829;Larvaceans;Tunicata;Appendicularia;NA;Appendicularia
5842;Larvae_unid;Animalia;NA;NA;Animalia
5843;Limestone_powder;NA;NA;NA;NA
5852;Limpets;Gastropoda;Gastropoda;NA;Patellogastropoda
5854;Lobster;Crab;Malacostraca;Decapoda;Phyllosoma_larvae
5855;Macroalgae;Algae;NA;NA;Macroalgae
5916;Madréporaires;Scleractinia;Anthozoa;Scleractinia;Scleractinia
5949;Material_unid;NA;NA;NA;NA
5950;Mites;Arachnida;Arachnida;NA;Acari
5954;Mollusca;Mollusca;NA;NA;Protoconch
5955;Mollusk;Mollusca;NA;NA;Mollusca
5964;Mollusques;Mollusca;NA;NA;Mollusca
6008;Mysids;Zooplankton;Malacostraca;Mysida;Mysida
6039;Natantia;Decapoda;Malacostraca;Decapoda;Decapoda
6040;Natantia;Decapoda;Malacostraca;Decapoda;Natantia
6043;Nebaliaceans;Zooplankton;Malacostraca;Leptostraca;Nebalia sp
6044;Nematodes;Nematoda;NA;NA;Nematoda
6066;Nemerteans;Nemertea;NA;NA;Nemertea
6067;Nemertinea;Nemertea;NA;NA;Nemertea
6068;Octopods;Cephalopoda;Cephalopoda;Octopoda;Octopoda
6074;Octopuses;Cephalopoda;Cephalopoda;Octopoda;Octopoda
6084;Octopuses;Cephalopoda;Cephalopoda;Octopoda;Octopus briareus
6087;Octopuses;Cephalopoda;Cephalopoda;Octopoda;Octopus vulgaris
6089;OM;Detritus;NA;NA;Detritus_OM
6107;Ophiurides;Ophiuroidea;Ophiuroidea;NA;Ophiuroidea
6135;Ophiurids;Ophiuroidea;Ophiuroidea;NA;Ophiuroidea
6137;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophiothrix sp
6141;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophionereis sp
6144;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophioderma rubicundum
6145;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophioderma sp
6146;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophioderma brevispinum
6151;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophiocoma echinata
6154;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Amphiura fibulata
6161;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophioderma squamosissimum
6166;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophiocoma riisei
6169;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Amphiuridae
6173;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophiocoma sp
6181;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophiactis sp
6184;Ophiurids;Ophiuroidea;Ophiuroidea;Amphilepidida;Ophiothrix sp
6188;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Amphipholis gracillima
6204;Ophiurids;Ophiuroidea;Ophiuroidea;Ophiurida;Ophiothrix lineata
6224;Ophiurids_frags;Ophiuroidea;Ophiuroidea;NA;Ophiuroidea
6225;Opisthobranchia;Gastropoda;Gastropoda;NA;Opisthobranchia
6234;Opistobranches;Gastropoda;Gastropoda;NA;Opisthobranchia
6298;Org_frags;Detritus;NA;NA;Organic
6300;Org_slurry;Detritus;NA;NA;Detritus_OM
6303;Orgmaterial_unid;Detritus;NA;NA;Organic
6304;Ostracoda;Ostracoda;Ostracoda;NA;Ostracoda
6305;Ostracodes;Ostracoda;Ostracoda;NA;Ostracoda
6409;Ostracods;Ostracoda;Ostracoda;NA;Ostracoda
6421;Ostracods;Ostracoda;Ostracoda;NA;Cypridinine
6422;Ostracods;Ostracoda;Ostracoda;Podocopida;Bairdoppilata carinata
6445;Pagures;Paguroidea;Malacostraca;Decapoda;Paguroidea
6523;Pagurid_crab;Paguroidea;Malacostraca;Decapoda;Paguroidea
6531;Pebbles;Inorganic;NA;NA;Inorganic
6532;Pelecypoda;Bivalvia;Bivalvia;NA;Bivalvia
6533;Pelecypodes;Bivalvia;Bivalvia;Pterioida;Pincada martensi
6534;Pelecypodes;Bivalvia;Bivalvia;NA;Bivalvia
6539;Pelecypodes;Bivalvia;Bivalvia;Pterioida;Isognomon costellatum
6542;Pelecypodes;Bivalvia;Bivalvia;Lucinoida;Codakia punctata
6544;Pelecypodes;Bivalvia;Bivalvia;NA;Valsella auriculata
6547;Pelecypodes;Bivalvia;Bivalvia;Arcoida;Arca sp
6550;Pelecypodes;Bivalvia;Bivalvia;Veneroida;Semelangulus sp
6554;Pelecypodes;Bivalvia;Bivalvia;Mytiloida;Lithophaga sp
6583;Pelecypodes;Bivalvia;Bivalvia;Veneroida;Chama sp
6596;Pelecypodes;Bivalvia;Bivalvia;Ostreoida;Ostreidae
6624;Pelecypodes;Mollusca;Bivalvia;NA;Protoconch
6633;Pelecypodes;Bivalvia;Bivalvia;Pectinoida;Pectinidae
6640;Pelecypods;Bivalvia;Bivalvia;Veneroida;Tellina sp
6641;Pelecypods;Bivalvia;Bivalvia;NA;Bivalvia
6645;Pelecypods;Bivalvia;Bivalvia;Pectinoida;Pecten sp
6646;Pelecypods;Bivalvia;Bivalvia;Veneroida;Laevicardium sp
6647;Pelecypods;Bivalvia;Bivalvia;Veneroida;Chione sp
6648;Pelecypods;Bivalvia;Bivalvia;Veneroida;Chama sp
6650;Pelecypods;Bivalvia;Bivalvia;Veneroida;Pitar sp
6652;Pelecypods;Bivalvia;Bivalvia;Veneroida;Cumingia antillarum
6653;Pelecypods;Bivalvia;Bivalvia;Veneroida;Asaphis deflorata
6656;Pelecypods;Bivalvia;Bivalvia;Mytiloida;Musculus lateralis
6657;Pelecypods;Bivalvia;Bivalvia;Pterioida;Pinctada sp
6658;Pelecypods;Bivalvia;Bivalvia;Veneroida;Americardia guppyi
6659;Pelecypods;Bivalvia;Bivalvia;Pterioida;Pteria colymbus
6660;Pelecypods;Bivalvia;Bivalvia;Pterioida;Isognomon radiatus
6662;Pelecypods;Bivalvia;Bivalvia;Veneroida;Chione cancellata
6663;Pelecypods;Bivalvia;Bivalvia;Ostreoida;Ostrea sp
6665;Pelecypods;Bivalvia;Bivalvia;Nuculanoida;Yoldia perprotracta
6666;Pelecypods;Bivalvia;Bivalvia;Solemyoida;Solemya occidentalis
6667;Pelecypods;Bivalvia;Bivalvia;Veneroida;Americardia media
6668;Pelecypods;Bivalvia;Bivalvia;Arcoida;Arcopsis adamsi
6669;Pelecypods;Bivalvia;Bivalvia;Veneroida;Tellina caribaea
6671;Pelecypods;Bivalvia;Bivalvia;Veneroida;Papyridea semisulcata
6673;Pelecypods;Bivalvia;Bivalvia;Myoida;Corbula contracta
6674;Pelecypods;Bivalvia;Bivalvia;Arcoida;Arcidae
6680;Pelecypods;Bivalvia;Bivalvia;Pectinoida;Aequipecten lineolaris
6682;Pelecypods;Bivalvia;Bivalvia;Lucinoida;Divaricella quadrisulcata
6684;Pelecypods;Bivalvia;Bivalvia;Veneroida;Papyridea sp
6686;Pelecypods;Bivalvia;Bivalvia;Lucinoida;Codakia pectinella
6687;Pelecypods;Bivalvia;Bivalvia;Arcoida;Glycymeris sp
6688;Pelecypods;Bivalvia;Bivalvia;Pterioida;Pinctada radiata
6689;Pelecypods;Bivalvia;Bivalvia;Veneroida;Trachycardium sp
6696;Pelecypods;Bivalvia;Bivalvia;Veneroida;Trachycardium magnum
6699;Pelecypods;Bivalvia;Bivalvia;Solemyida;Solemya occidentalis
6702;Pelecypods;Bivalvia;Bivalvia;Arcoida;Arca imbricata
6703;Pelecypods;Bivalvia;Bivalvia;Veneroida;Macoma cerina
6705;Pelecypods;Bivalvia;Bivalvia;Arcoida;Barbatia excustus
6707;Pelecypods;Bivalvia;Bivalvia;Decapoda;Papyridea soleniformis
6711;Pelecypods;Bivalvia;Bivalvia;Mytiloida;Lithophaga bisulcata
6712;Pelecypods;Bivalvia;Bivalvia;Veneroida;Antigona listeri
6715;Pelecypods;Bivalvia;Bivalvia;Arcoida;Glycymeris pectinata
6716;Pelecypods;Bivalvia;Bivalvia;Veneroida;Pitar fulminata
6719;Pelecypods;Bivalvia;Bivalvia;Pterioida;Atrina seminuda
6721;Pelecypods;Bivalvia;Bivalvia;Veneroida;Crassinella sp
6722;Pelecypods;Bivalvia;Bivalvia;Arcoida;Glycymeris decussata
6723;Pelecypods;Bivalvia;Bivalvia;Pterioida;Isognomon sp
6725;Pelecypods;Bivalvia;Bivalvia;Pectinoida;Pecten ziczac
6728;Pelecypods;Bivalvia;Bivalvia;Arcoida;Arca zebra
6730;Pelecypods;Bivalvia;Bivalvia;Pterioida;Pinnidae
6732;Pelecypods;Bivalvia;Bivalvia;Veneroida;Chama sarda
6733;Pelecypods;Bivalvia;Bivalvia;Veneroida;Ervilia nitens
6737;Pelecypods;Bivalvia;Bivalvia;Veneroida;Chione paphia
6741;Pelecypods;Bivalvia;Bivalvia;Arcoida;Barbatia cancellaria
6743;Pelecypods;Bivalvia;Bivalvia;Mytiloida;Brachidontes sp
6747;Pelecypods;Bivalvia;Bivalvia;Lucinoida;Codakia costata
6748;Pelecypods;Bivalvia;Bivalvia;Pterioida;Atrina rigida
6752;Pelecypods;Bivalvia;Bivalvia;Pectinoida;Lyropecten antillarum
6753;Pelecypods;Bivalvia;Bivalvia;Veneroida;Pseudochama sp
6754;Pelecypods;Bivalvia;Bivalvia;Arcoida;Barbatia domingensis
6756;Pelecypods;Bivalvia;Bivalvia;Mytiloida;Brachidontes citrinus
6757;Pelecypods;Bivalvia;Bivalvia;Ellobiida;Macoma cerina
6762;Pelecypods;Bivalvia;Bivalvia;Arcoida;Arca umbonata
6764;Pelecypods;Bivalvia;Bivalvia;Mytiloida;Crenella divaricata
6766;Pelecypods;Bivalvia;Bivalvia;Mytiloida;Brachidontes exustus
6767;Pelecypods;Bivalvia;Bivalvia;Pectinoida;Aequipecten gibbus
6768;Pelecypods;Bivalvia;Bivalvia;Pectinoida;Spondylus sp
6772;Pelecypods;Bivalvia;Bivalvia;Siphonostomatoida;Chlamys sp
6778;Pelecypods;Bivalvia;Bivalvia;Mytiloida;Volsella sp
6781;Pelecypods;Bivalvia;Bivalvia;Veneroida;Microcardium sp
6783;Pelecypods;Bivalvia;Bivalvia;Veneroida;Gouldia cerina
6785;Pelecypods;Bivalvia;Bivalvia;Ostreoida;Ostreidae
6786;Pelecypods;Bivalvia;Bivalvia;Veneroida;Tellina listeri
6788;Pelecypods;Bivalvia;Bivalvia;Pterioida;Isognomon alatus
6793;Pelecypods;Bivalvia;Bivalvia;Lucinoida;Codakia orbicularis
6794;Pelecypods;Bivalvia;Bivalvia;Nuculanoida;Nuculana sp
6797;Pelecypods;Bivalvia;Bivalvia;Veneroida;Trachycardium muricatum
6802;Pelecypods;Bivalvia;Bivalvia;Limoida;Lima pellucida
6807;Pelecypods;Bivalvia;Bivalvia;Pterioida;Pinna carnea
6809;Pelecypods;Bivalvia;Bivalvia;NA;Arcot sp
6810;Phanerogames;Spermatophyta;NA;NA;Spermatophyta
6834;Phanerogames débris;Spermatophyta;NA;NA;Spermatophyta
6838;Plants;Seagrass;Magnoliopsida;Alismatales;Thalassia testudinum
6839;Plants;Cyanobacteria;Cyanophyceae;Oscillatoriales;Lyngbya majuscula
6840;Plants;Algae;Xanthophyceae;Vaucheriales;Vaucheria sp
6841;Plants;Diatoms;NA;NA;Diatoms
6842;Plants;Plantae;NA;NA;Plantae
6843;Plants;Seagrass;Magnoliopsida;Alismatales;Thalassia sp
6844;Plants;Algae;Ulvophyceae;Ulvales;Enteromorpha sp
6845;Plants;Algae;Ulvophyceae;Cladophorales;Rhizoclonium riparium
6847;Plants;Seagrass;Magnoliopsida;Alismatales;Cymodocea sp
6848;Pogonophores;Polychaeta;Polychaeta;Sabellida;Siboglinidae
6862;Polychaeta;Polychaeta;Polychaeta;NA;Polychaeta
6876;Polychaeta;Polychaeta;Polychaeta;Sabellida;Serpulidae
6899;Polychaeta;Polychaeta;Polychaeta;Sabellida;Sabellidae
6902;Polychaeta;Polychaeta;Polychaeta;Eunicida;Arabellidae
6903;Polychaeta;Polychaeta;Polychaeta;NA;Polychaeta
6959;Polychaeta;Polychaeta;Polychaeta;NA;Polychaeta
6961;Polychaeta;Polychaeta;Polychaeta;Eunicida;Eunice sp
6963;Polychaeta;Polychaeta;Polychaeta;Capitellida;Capitellidae
7087;Polychaeta;Polychaeta;Polychaeta;Eunicida;Eunicidae
7097;Polychaeta;Polychaeta;Polychaeta;NA;Polynoidae
7115;Polychaetes;Polychaeta;Polychaeta;NA;Polychaeta
7122;Polychaetes;Polychaeta;Polychaeta;Sabellida;Sabellastarte magnifica
7124;Polychaetes;Polychaeta;Polychaeta;Flabelligerida;Semiodera sp
7127;Polychaetes;Polychaeta;Polychaeta;Eunicida;Chloeia sp
7130;Polychaetes;Polychaeta;Polychaeta;Eunicida;Onuphidae
7133;Polychaetes;Polychaeta;Polychaeta;Terebellida;Terebellidae
7134;Polychaetes;Polychaeta;Polychaeta;Terebellida;Flabelligeridae
7140;Polychaetes;Polychaeta;Polychaeta;Sabellida;Sabellidae
7145;Polychaetes;Polychaeta;Polychaeta;NA;Cariboa sp
7155;Polychaetes;Polychaeta;Polychaeta;NA;Opheliidae
7170;Polychaetes;Polychaeta;Polychaeta;Phyllodocida;Glyceridae
7180;Polychaetes;Polychaeta;Polychaeta;Sabellida;Serpulidae
7186;Polychaetes;Polychaeta;Polychaeta;NA;Maldanidae
7192;Polychaetes;Polychaeta;Polychaeta;Phyllodocida;Syllidae
7202;Polychaetes;Polychaeta;Polychaeta;Eunicida;Lumbrineridae
