grp_raw;grp1;grp2;grp3;item_raw;item_class;item_ord_cor;item_cor
Fish;Fish;Fish;Actinopterygii;Gobiidae;Actinopterygii;Gobiiformes;Gobiidae
Fish;Fish;Fish;Actinopterygii;Holocentrus_ascensionis;Actinopterygii;Holocentriformes;Holocentrus adscensionis
Fish;Fish;Fish;Actinopterygii;Malacanthus_plumieri;Actinopterygii;Perciformes;Malacanthus plumieri
Fish;Fish;Fish;Actinopterygii;Sphaeroides_spengleri;Actinopterygii;Tetraodontiformes;Sphoeroides spengleri
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Fasciolaria tulipa
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Murex pomum
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Littorinimorpha;Strombus sp
Stomatopods;Stomatopoda;Stomatopoda;Malacostraca;Lysiosquilla_glabriuscula;Malacostraca;Stomatopoda;Lysiosquilla glabriuscula
Fish;Fish;Fish;Actinopterygii;Bodianus_rufus;Actinopterygii;Labriformes;Bodianus rufus
Fish;Fish;Fish;Actinopterygii;Scorpaenidae;Actinopterygii;Perciformes;Scorpaenidae
Crab;Crab;Crab;Malacostraca;Actaea_acantha;Malacostraca;Decapoda;Actaea acantha
Crab;Crab;Crab;Malacostraca;Poriunus_sebae;Malacostraca;Decapoda;Portunus sebae
Fish;Fish;Fish;Actinopterygii;Haemulon_sciurus;Actinopterygii;Lutjaniformes;Haemulon sciurus
Fish;Fish;Fish;Actinopterygii;Scarus_coeruleus;Actinopterygii;Labriformes;Scarus coeruleus
Crab;Crab;Crab;Malacostraca;Callinectes_sp;Malacostraca;Decapoda;Callinectes sp
Fish;Crab;Crab;Malacostraca;Goneplacidae;Malacostraca;Decapoda;Goneplacidae
Scyllarid_lobster;Scyllaridae;Scyllaridae;Malacostraca;Scyllarid_lobster;Malacostraca;Decapoda;Scyllaridae
Fish;Fish;Fish;Actinopterygii;Haemulon_plumieri;Actinopterygii;Lutjaniformes;Haemulon plumierii
Fish;Fish;Fish;Actinopterygii;Holacanthus_tricolor;Actinopterygii;Perciformes;Holacanthus tricolor
Fish;Fish;Fish;Actinopterygii;Myrichthys_sp;Actinopterygii;Anguilliformes;Myrichthys sp
Fish;Fish;Fish;Actinopterygii;Ophichthidae;Actinopterygii;Anguilliformes;Ophichthidae
Fish;Fish;Fish;Actinopterygii;Opisthonema_oglinum;Actinopterygii;Clupeiformes;Opisthonema oglinum
Fish;Fish;Fish;Actinopterygii;Sparisoma_virida;Actinopterygii;Labriformes;Sparisoma viride
Fish;Fish;Fish;Actinopterygii;Xanthichthys_ringens;Actinopterygii;Tetraodontiformes;Xanthichthys ringens
Crab;Crab;Crab;Malacostraca;Carpilius_corallinus;Malacostraca;Decapoda;Carpilius corallinus
Octopuses;Cephalopoda;Cephalopoda;Cephalopoda;Octopus_vulgaris;Cephalopoda;Octopoda;Octopus vulgaris
Fish;Fish;Fish;Actinopterygii;Saurida_sp;Actinopterygii;Aulopiformes;Saurida sp
Crab;Crab;Crab;Malacostraca;Gonoplacidae Speocarcinus;Malacostraca;Decapoda;Goneplacidae
Crab;Crab;Crab;Malacostraca;Leiolambrus_nitidus;Malacostraca;Decapoda;Leiolambrus nitidus
Crab;Crab;Crab;Malacostraca;Calappa_ocellata;Malacostraca;Decapoda;Calappa ocellata
Crab;Crab;Crab;Malacostraca;Pitho_aculeata;Malacostraca;Decapoda;Pitho aculeata
Shrimp;Shrimp;Shrimp;Malacostraca;Sicyonia_laevigata;Malacostraca;Decapoda;Sicyonia laevigata
Shrimp;Shrimp;Shrimp;Malacostraca;Trachycaris_restrictus;Malacostraca;Decapoda;Trachycaris restrictus
Pteropods;Zooplankton;Gastropoda;Zooplankton;Pteropods_Cavolina_sp;Gastropoda;Pteropoda;Cavolina sp
Tunicates;Tunicata;Tunicata;Tunicata;Tunicates;NA;NA;Tunicata
Ctenophores;Ctenophora;Ctenophora;Ctenophora;Ctenophores;NA;NA;Ctenophora
Heteropods;Arachnida;Arachnida;Arachnida;Heteropods;Arachnida;Araneae;Heteropoda
Euphausids;Zooplankton;Euphausiacea;Zooplankton;Euphausids;Malacostraca;Euphausiacea;Euphausiacea
Insecta;Insecta;Insecta;Insecta;Hymenopteran insect;Insecta;Hymenoptera;Hymenoptera
Echinoids;Echinoidea;Echinoidea;Echinoidea;Echinoids;Echinoidea;NA;Echinoidea
Echinoids;Echinoidea;Echinoidea;Echinoidea;Diadema_antillarum;Echinoidea;Diadematoida;Diadema antillarum
Echinoids;Echinoidea;Echinoidea;Echinoidea;Echinometra_sp;Echinoidea;Echinoida;Echinometra sp
Echinoids;Echinoidea;Echinoidea;Echinoidea;Echinometra_lacunter;Echinoidea;Echinoida;Echinometra lacunter
Echinoids;Echinoidea;Echinoidea;Echinoidea;Echinometra_viridis;Echinoidea;Echinoida;Echinometra viridis
Echinoids;Echinoidea;Echinoidea;Echinoidea;Eucidaris_tribuloides;Echinoidea;Cidaroida;Eucidaris tribuloides
Echinoids;Echinoidea;Echinoidea;Echinoidea;Spatangoids;Echinoidea;Spatangoida;Spatangoida
Gastropods;Gastropoda;Gastropoda;Gastropoda;Vermetidae_frags;Gastropoda;Littorinimorpha;Alvania auberina
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Anachis sp
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Columbellidae
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Lepetellida;Diodora cayenensis
Gastropods;Gastropoda;Gastropoda;Gastropoda;Diodora_listeri;Gastropoda;Lepetellida;Diodora listeri
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Lepetellida;Hemitoma octoradiata
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Mangelia sp
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Nassarius albus
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Nitidella ocellata
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Olivella sp
Gastropods;Gastropoda;Gastropoda;Gastropoda;Gastropods;Gastropoda;Neogastropoda;Pyrgocythara sp
Gastropods;Gastropoda;Gastropoda;Gastropoda;Turrids;Gastropoda;Neogastropoda;Turridae
Ophiurids;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiocoma_sp;Ophiuroidea;Ophiurida;Ophiocoma sp
Ophiurids;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiocoma_echinata;Ophiuroidea;Ophiurida;Ophiocoma echinata
Ophiurids;Ophiuroidea;Ophiuroidea;Ophiuroidea;Ophiothrix_sp;Ophiuroidea;Ophiurida;Ophiothrix sp
Asteroids;Asteroidea;Asteroidea;Asteroidea;Linckia_guildingii;Asteroidea;Valvatida;Linckia guildingi
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Laevicardium_sp;Bivalvia;Veneroida;Laevicardium sp
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Papyridea_soleniformis;Bivalvia;Decapoda;Papyridea soleniformis
Pelecypods;Bivalvia;Bivalvia;Bivalvia;Tellina_sp;Bivalvia;Veneroida;Tellina sp
Anthozoans;Anthozoa;Anthozoa;Anthozoa;Anthozoa;Anthozoa;NA;Anthozoa
