"","Abudefduf abdominalis","Abudefduf sordidus","Acanthurus thompsoni","Anampses cuvier","Apogon erythrinus","Apolemichthys arcuatus","Arothron hispidus","Arothron meleagris","Atherinomorus insularum","Aulostomus chinensis","Brotula multibarbata","Cantherhines dumerilii","Cantherhines sandwichiensis","Canthigaster amboinensis","Canthigaster jactator","Caranx melampygus","Centropyge potteri","Cephalopholis argus","Chaetodon auriga","Chaetodon fremblii","Chaetodon kleinii","Chaetodon lunula","Chaetodon miliaris","Chaetodon multicinctus","Chaetodon ornatissimus","Chaetodon quadrimaculatus","Chaetodon unimaculatus","Chlorurus sordidus","Chromis leucura","Chromis vanderbilti","Chromis verater","Cirrhitops fasciatus","Cirrhitus pinnulatus","Coris gaimard","Dascyllus albisella","Diodon holocanthus","Diodon hystrix","Exallias brevis","Fistularia petimba","Forcipiger flavissimus","Forcipiger longirostris","Gomphosus varius","Gymnomuraena zebra","Gymnothorax meleagris","Halichoeres ornatissimus","Hemitaurichthys thompsoni","Hemitaurichthys zoster","Heteropriacanthus cruentatus","Kyphosus cinerascens","Macropharyngodon geoffroy","Melichthys niger","Monotaxis grandoculis","Mulloidichthys flavolineatus","Myripristis amaena","Myripristis kuntee","Myripristis murdjan","Naso hexacanthus","Neoniphon sammara","Ostracion meleagris","Oxycheilinus orientalis","Paracirrhites arcatus","Paracirrhites forsteri","Parupeneus cyclostomus","Parupeneus forsskali","Parupeneus multifasciatus","Parupeneus porphyreus","Parupeneus trifasciatus","Pervagor spilosoma","Plectroglyphidodon imparipennis","Plectroglyphidodon johnstonianus","Plectroglyphidodon sindonis","Plectrypops lima","Pristiapogon kallopterus","Pristiapogon taeniopterus","Pseudocheilinus octotaenia","Pterois sphex","Rhinecanthus rectangulus","Sargocentron diadema","Sargocentron punctatissimum","Sargocentron tiere","Sargocentron xantherythrum","Scorpaenopsis cacopsis","Sebastapistes coniorta","Stegastes fasciolatus","Stethojulis balteata","Sufflamen bursa","Synodus variegatus","Thalassoma duperrey","Thalassoma trilobatum","Xanthichthys ringens","Zanclus cornutus"
"Euphausiacea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294117645294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0270270268593864,0,0,0,0,0,0,0,0,0,0
"Foraminifera",0,0,0,0.117647058719723,0,0,0,0,0.19999999988,0,0,0,0,0.0555555555895062,0.0476190475714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081081081109569,0,0.0357142857142857,0,0,0.333333333333333,0.0600000000462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0437158469493864,0,0.017543859800554,0,0,0.0416666666666667
"Gastropoda",0,0.111111111111111,0,0,0,0,0.0434782608960302,0,0,0,0,0,0.0227272727399277,0.0740740741193416,0.0952380952857143,0,0,0,0,0.0317460317460317,0,0.21455938716936,0,0,0,0.0382165604256562,0,0,0,0,0,0,0,0,0,0.3125,0.323529411806228,0,0,0,0,0.166666667,0,0,0,0.058252427262513,0.0357142857142857,0,0,0.333333333333333,0.0300000000231,0.176470588235294,0.117647058913495,0.0606060607217631,0,0.0294117645294118,0,0,0.0833333333333333,0,0,0,0,0.133333333333333,0.0759493672212786,0.0909090909090909,0.0689007204475457,0.0277777778287037,0.0442804426806552,0,0,0,0,0,0,0,0.0727272726856198,0.0795755967994146,0.0232558139640346,0,0.0945945944673119,0,0,0,0.166666666666667,0.0819672131284601,0,0.157894736941828,0,0,0
"Hemichordata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317460317460317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Holothuroidea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0306513410526563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0159151191943657,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hydrozoa",0,0.0555555555555556,0.140350877068021,0,0,0,0.0434782608960302,0,0,0,0,0,0.0454545454798554,0,0,0,0,0,0.0285714286216327,0.0634920634920635,0.0402684563996216,0.0306513410526563,0,0.0571428571967347,0,0.165605095644935,0,0,0,0.0306122447742607,0.0638297872340426,0,0,0,0.0454545454545455,0,0,0,0,0.142857142857143,0,0,0,0,0,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.0555555554907407,0,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888888888533333,0.0277777778333333
"Inorganic",0,0,0,0,0,0,0,0,0,0,0,0,0.0227272727399277,0,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300000000231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277777778287037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0792079208832467,0,0,0,0,0,0,0
"Insecta",0,0.0277777777777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0600000000462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221402215063793,0,0.0384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isopoda",0,0,0,0.0882352941280277,0,0,0,0,0,0,0,0,0,0,0.0238095238571429,0,0,0,0,0.0952380952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178571428571429,0,0,0,0,0.054054054073046,0,0,0,0,0,0,0,0.0588235294567474,0.0303030301487603,0,0,0,0,0,0,0,0,0,0.0761904761904762,0,0,0,0,0.0442804426806552,0,0,0,0,0.0377358495201139,0,0,0.0545454545142149,0.0477453579968901,0,0,0.0270270268593864,0,0,0,0.0833333333333333,0.0765027322597868,0,0.0350877191800554,0.0476190474126984,0,0
"Mysida",0,0,0,0,0,0,0,0,0.2500000003,0,0.125,0,0,0,0,0.142857142857143,0,0,0,0,0.0805369127992433,0,0.0740740740996799,0,0,0,0,0,0,0,0.0638297872340426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058252427262513,0,0.02500000018375,0,0,0,0,0,0.121212121443526,0.131249999974219,0.0882352940882353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0645161287075963,0.11320754739053,0,0,0,0.0318302388025245,0,0,0.0270270268593864,0,0,0,0,0,0,0,0,0,0
"Nemertea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Octocorallia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142765306,0,0,0.0306513410526563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ophiuroidea",0,0,0,0,0,0,0.130434782688091,0,0,0,0,0,0.0227272727399277,0.0370370370596708,0.0238095238571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0.0714285711428571,0,0,0.125,0,0,0,0,0,0,0,0,0.027027027036523,0,0,0,0,0,0,0.176470588235294,0,0,0,0,0,0,0,0,0.0465116279069768,0,0,0.0761904761904762,0,0,0,0.0277777778287037,0,0,0,0,0,0,0,0,0,0.190981432815147,0.0232558139640346,0,0,0,0,0,0,0,0,0.0350877191800554,0.0476190474126984,0,0
"Ostracoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238095238571429,0,0,0,0,0,0.120805369198865,0,0.0740740740996799,0,0,0,0,0,0,0.0306122447742607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027027027036523,0,0.0357142857142857,0,0,0,0.0300000000231,0,0,0,0.0375000000515625,0.0294117645294118,0,0,0,0,0,0,0,0.0380952380952381,0.0253164558923249,0,0,0.0277777778287037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0437158469493864,0,0,0,0.177777777706667,0
"Phytoplankton",0,0,0,0,0,0,0,0,0,0,0,0,0.0681818182197831,0,0.0714285714285714,0,0.238095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0.108108108146092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555554907407,0.132841328374069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0,0,0.0159151191943657,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porifera",0,0.111111111111111,0,0,0,1,0.0434782608960302,0,0,0,0,0,0.0454545454798554,0.0925925926491769,0.0714285714285714,0,0.238095238095238,0,0.0285714286216327,0,0,0,0,0,0,0,0.135135135204529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0,0,0,0,0,0,0.0277777778287037,0.0221402215063793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118811881176355,0,0.0874316939971334,0,0,0,0,0.166666666666667
"Pteropoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0888888888533333,0
"Pycnogonida",0,0.0555555555555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scleractinia",0,0,0,0,0,0,0,0.5,0,0,0,0.777777777777778,0.0454545454798554,0.111111110975309,0.0476190475714286,0,0,0,0,0,0,0,0,0.314285714267755,0,0,0.405405405100073,0,0,0,0,0,0,0,0,0,0,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0300000000231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138888888810185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350877191800554,0,0,0
