site_code;class;family_cor;genus;sp;nb_sample;nb_empty;item_raw;item;item_phylum;item_class;item_ord;item_fam;item_gen;item_sp;item_volper;grp6;grp1;grp3;nb_guts;item_freq;time;fish_sp
vir;Elasmobranchii;Mylobatidae;Aetobatus;narinari;4;1;Gastropods;Gastropoda;Mollusca;Gastropoda;NA;NA;NA;NA;53.4;Gastropoda;Gastropoda;Gastropoda;3;NA;NA;Aetobatus narinari
vir;Elasmobranchii;Mylobatidae;Aetobatus;narinari;4;1;Pelecypod;Bivalvia;Mollusca;Bivalvia;NA;NA;NA;NA;46.6;Bivalvia;Bivalvia;Bivalvia;3;NA;NA;Aetobatus narinari
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Copepods;Copepoda;Arthropoda;Hexanauplia;NA;NA;NA;NA;55;Copepoda;Copepoda;Hexanauplia;12;NA;NA;Harengula clupeola
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Crab_larvae;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;25;Zooplankton;Zooplankton;Zooplankton;12;NA;NA;Harengula clupeola
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Shrimp_larvae;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;8;Zooplankton;Zooplankton;Zooplankton;12;NA;NA;Harengula clupeola
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;5;Worm;Annelida;Polychaeta;12;NA;NA;Harengula clupeola
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Pteropods_Cresis_sp;Creseis sp;Mollusca;Gastropoda;Pteropoda;Creseidae;Creseis;sp;5;Zooplankton;Zooplankton;Zooplankton;12;NA;NA;Harengula clupeola
vir;Actinopterygii;Clupeidae;Harengula;clupeola;21;9;Fish_eggs;Fish_eggs;Chordata;Actinopterygii;NA;NA;NA;NA;2;Zooplankton;Zooplankton;Zooplankton;12;NA;NA;Harengula clupeola
vir;Actinopterygii;Clupeidae;Harengula;humeralis;24;0;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;60.5;Actinopterygii;Fish;Actinopterygii;24;NA;NA;Harengula humeralis
vir;Actinopterygii;Clupeidae;Harengula;humeralis;24;0;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;29;Worm;Annelida;Polychaeta;24;NA;NA;Harengula humeralis
vir;Actinopterygii;Clupeidae;Harengula;humeralis;24;0;Shrimp_larvae;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;5;Zooplankton;Zooplankton;Zooplankton;24;NA;NA;Harengula humeralis
vir;Actinopterygii;Clupeidae;Harengula;humeralis;24;0;Plants;Plantae;NA;NA;NA;NA;NA;NA;2.5;Benthic autotroph;NA;NA;24;NA;NA;Harengula humeralis
vir;Actinopterygii;Clupeidae;Harengula;humeralis;24;0;Crab larvae;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;1;Zooplankton;Zooplankton;Zooplankton;24;NA;NA;Harengula humeralis
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Copepods;Copepoda;Arthropoda;Hexanauplia;NA;NA;NA;NA;26.6;Copepoda;Copepoda;Hexanauplia;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;22.4;Worm;Annelida;Polychaeta;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;17.1;Decapoda;Shrimp;Malacostraca;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;9.8;Actinopterygii;Fish;Actinopterygii;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Crab_larvae;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;6.4;Zooplankton;Zooplankton;Zooplankton;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Mysids;Mysida;Arthropoda;Malacostraca;Mysida;NA;NA;NA;5.5;Zooplankton;Zooplankton;Zooplankton;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Appendicularians;Appendicularia;Chordata;Appendicularia;NA;NA;NA;NA;3;Tunicata;Tunicata;Tunicata;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Stomatopod larvae;Stomatopoda;Arthropoda;Malacostraca;Stomatopoda;NA;NA;NA;2.5;Zooplankton;Zooplankton;Zooplankton;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Eggs;Eggs;NA;NA;NA;NA;NA;NA;2.5;Zooplankton;Zooplankton;Zooplankton;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Gastropod larvae;Gastropoda;Mollusca;Gastropoda;NA;NA;NA;NA;1.6;Zooplankton;Zooplankton;Zooplankton;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Siphonophores;Siphonophorae;Cnidaria;Hydrozoa;Siphonophorae;NA;NA;NA;0.7;Medusozoa;Hydrozoa;Hydrozoa;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Pelecypod larvae;Bivalvia;Mollusca;Bivalvia;NA;NA;NA;NA;0.6;Zooplankton;Zooplankton;Zooplankton;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Ostracods;Ostracoda;Arthropoda;Ostracoda;NA;NA;NA;NA;0.5;Zooplankton;Ostracoda;Ostracoda;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Fish_eggs;Fish_eggs;Chordata;Actinopterygii;NA;NA;NA;NA;0.5;Zooplankton;Zooplankton;Zooplankton;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Opisthonema;oglinum;23;6;Pteropods;Pteropoda;Mollusca;Gastropoda;Pteropoda;NA;NA;NA;0.3;Zooplankton;Zooplankton;Zooplankton;17;NA;NA;Opisthonema oglinum
vir;Actinopterygii;Clupeidae;Jenkinsia;lamprotaenia;28;10;Copepods;Copepoda;Arthropoda;Hexanauplia;NA;NA;NA;NA;74;Copepoda;Copepoda;Hexanauplia;18;NA;NA;Jenkinsia lamprotaenia
vir;Actinopterygii;Clupeidae;Jenkinsia;lamprotaenia;28;10;Crab_larvae;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;4.2;Zooplankton;Zooplankton;Zooplankton;18;NA;NA;Jenkinsia lamprotaenia
vir;Actinopterygii;Clupeidae;Jenkinsia;lamprotaenia;28;10;Hyperiid;Hyperiidea;Arthropoda;Malacostraca;Amphipoda;NA;NA;NA;3.8;Peracarida;Amphipoda;Malacostraca;18;NA;NA;Jenkinsia lamprotaenia
vir;Actinopterygii;Clupeidae;Jenkinsia;lamprotaenia;28;10;Fish_eggs;Fish_eggs;Chordata;Actinopterygii;NA;NA;NA;NA;1.1;Zooplankton;Zooplankton;Zooplankton;18;NA;NA;Jenkinsia lamprotaenia
vir;Actinopterygii;Synodontidae;Synodus;intermedius;38;20;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;94.5;Actinopterygii;Fish;Actinopterygii;18;NA;NA;Synodus intermedius
vir;Actinopterygii;Synodontidae;Synodus;intermedius;38;20;Squids;Teuthida;Mollusca;Cephalopoda;Teuthida;NA;NA;NA;5;Cephalopoda;Cephalopoda;Cephalopoda;18;NA;NA;Synodus intermedius
vir;Actinopterygii;Synodontidae;Synodus;intermedius;38;20;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;0.5;Decapoda;Shrimp;Malacostraca;18;NA;NA;Synodus intermedius
vir;Actinopterygii;Synodontidae;Synodus;foetens;9;6;Anchoa_sp;Anchoa sp;Chordata;Actinopterygii;Clupeiformes;Engraulidae;Anchoa;sp;100;Actinopterygii;Fish;Actinopterygii;3;NA;NA;Synodus foetens
vir;Actinopterygii;Muraenidae;Echidna;catenata;11;3;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;96.3;Decapoda;Crab;Malacostraca;8;NA;NA;Echidna catenata
vir;Actinopterygii;Muraenidae;Echidna;catenata;11;3;Lysmata_moorei;Lysmata moorei;Arthropoda;Malacostraca;Decapoda;Hippolytidae;Lysmata;moorei;3.7;Decapoda;Shrimp;Malacostraca;8;NA;NA;Echidna catenata
vir;Actinopterygii;Muraenidae;Gymnothorax;moringa;26;20;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;100;Actinopterygii;Fish;Actinopterygii;6;NA;NA;Gymnothorax moringa
vir;Actinopterygii;Muraenidae;Gymnothorax;vicinus;11;7;Scarus_sp;Scarus sp;Chordata;Actinopterygii;Pleurotomariida;Scissurellidae;Scarus;sp;62.5;Actinopterygii;Fish;Actinopterygii;4;NA;NA;Gymnothorax vicinus
vir;Actinopterygii;Muraenidae;Gymnothorax;vicinus;11;7;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;25;Decapoda;Crab;Malacostraca;4;NA;NA;Gymnothorax vicinus
vir;Actinopterygii;Muraenidae;Gymnothorax;vicinus;11;7;Octopuses;Octopoda;Mollusca;Cephalopoda;Octopoda;NA;NA;NA;12.5;Cephalopoda;Cephalopoda;Cephalopoda;4;NA;NA;Gymnothorax vicinus
vir;Actinopterygii;Ophichthidae;Myrichthys;breviceps;8;1;Crab;Mithrax sculptus;Arthropoda;Malacostraca;Decapoda;Mithracidae;Mithrax;sculptus;86;Decapoda;Crab;Malacostraca;7;NA;NA;Myrichthys breviceps
vir;Actinopterygii;Ophichthidae;Myrichthys;breviceps;8;1;Gonodactylus_curacaoensis;Gonodactylus curacaoensis;Arthropoda;Malacostraca;Stomatopoda;Gonodactylidae;Gonodactylus;curacaoensis;7;Stomatopoda;Stomatopoda;Malacostraca;7;NA;NA;Myrichthys breviceps
vir;Actinopterygii;Ophichthidae;Myrichthys;breviceps;8;1;Echinoids;Echinoidea;Echinodermata;Echinoidea;NA;NA;NA;NA;7;Echinoidea;Echinoidea;Echinoidea;7;NA;NA;Myrichthys breviceps
vir;Actinopterygii;Ophichthidae;Myrichthys;ocellatus;8;1;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;61.2;Decapoda;Crab;Malacostraca;7;NA;NA;Myrichthys ocellatus
vir;Actinopterygii;Ophichthidae;Myrichthys;ocellatus;8;1;Stomatopod;Stomatopoda;Arthropoda;Malacostraca;Stomatopoda;NA;NA;NA;12.5;Stomatopoda;Stomatopoda;Malacostraca;7;NA;NA;Myrichthys ocellatus
vir;Actinopterygii;Ophichthidae;Myrichthys;ocellatus;8;1;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;3.2;Decapoda;Shrimp;Malacostraca;7;NA;NA;Myrichthys ocellatus
vir;Actinopterygii;Ophichthidae;Myrichthys;ocellatus;8;1;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;3.2;Actinopterygii;Fish;Actinopterygii;7;NA;NA;Myrichthys ocellatus
vir;Actinopterygii;Ophichthidae;Myrichthys;ocellatus;8;1;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;1.2;Worm;Annelida;Polychaeta;7;NA;NA;Myrichthys ocellatus
vir;Actinopterygii;Ophichthidae;Ophichthus;ophis;5;1;Haemulon_aurolineatum;Haemulon aurolineatum;Chordata;Actinopterygii;Lutjaniformes;Haemulidae;Haemulon;aurolineatum;50;Actinopterygii;Fish;Actinopterygii;4;NA;NA;Ophichthus ophis
vir;Actinopterygii;Ophichthidae;Ophichthus;ophis;5;1;Octopuses;Octopoda;Mollusca;Cephalopoda;Octopoda;NA;NA;NA;50;Cephalopoda;Cephalopoda;Cephalopoda;4;NA;NA;Ophichthus ophis
vir;Actinopterygii;Congridae;Heteroconger;longissimus;12;1;Copepods;Copepoda;Arthropoda;Hexanauplia;NA;NA;NA;NA;66.3;Copepoda;Copepoda;Hexanauplia;11;NA;NA;Heteroconger longissimus
vir;Actinopterygii;Congridae;Heteroconger;longissimus;12;1;Appendicularians;Appendicularia;Chordata;Appendicularia;NA;NA;NA;NA;18.6;Tunicata;Tunicata;Tunicata;11;NA;NA;Heteroconger longissimus
vir;Actinopterygii;Congridae;Heteroconger;longissimus;12;1;Pteropods;Pteropoda;Mollusca;Gastropoda;Pteropoda;NA;NA;NA;4.5;Zooplankton;Zooplankton;Zooplankton;11;NA;NA;Heteroconger longissimus
vir;Actinopterygii;Congridae;Heteroconger;longissimus;12;1;Ostracods;Ostracoda;Arthropoda;Ostracoda;NA;NA;NA;NA;3.8;Zooplankton;Ostracoda;Ostracoda;11;NA;NA;Heteroconger longissimus
vir;Actinopterygii;Congridae;Heteroconger;longissimus;12;1;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;2.5;Decapoda;Shrimp;Malacostraca;11;NA;NA;Heteroconger longissimus
vir;Actinopterygii;Congridae;Heteroconger;longissimus;12;1;Eggs;Eggs;NA;NA;NA;NA;NA;NA;2.4;Zooplankton;Zooplankton;Zooplankton;11;NA;NA;Heteroconger longissimus
vir;Actinopterygii;Congridae;Heteroconger;longissimus;12;1;Gastropods larvae;Gastropoda;Mollusca;Gastropoda;NA;NA;NA;NA;1.9;Zooplankton;Zooplankton;Zooplankton;11;NA;NA;Heteroconger longissimus
vir;Actinopterygii;Belonidae;Platybelone;argalus;15;2;Jenkinsia_sp;Jenkinsia sp;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Jenkinsia;sp;97;Actinopterygii;Fish;Actinopterygii;13;NA;NA;Platybelone argalus
vir;Actinopterygii;Belonidae;Platybelone;argalus;15;2;Carpenter_ants;Hymenoptera;Arthropoda;Insecta;Hymenoptera;NA;NA;NA;3;Insecta;Insecta;Insecta;13;NA;NA;Platybelone argalus
vir;Actinopterygii;Belonidae;Strongylura;timucu;20;5;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;96;Actinopterygii;Actinopterygii;Actinopterygii;15;NA;NA;Strongylura timucu
vir;Actinopterygii;Belonidae;Strongylura;timucu;20;5;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;4;Decapoda;Shrimp;Malacostraca;15;NA;NA;Strongylura timucu
vir;Actinopterygii;Belonidae;Tylosurus;acus;13;6;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;96.3;Actinopterygii;Fish;Actinopterygii;7;NA;NA;Tylosurus acus
vir;Actinopterygii;Belonidae;Tylosurus;acus;13;6;Hermit_crab;Paguroidea;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;1.4;Decapoda;Paguroidea;Malacostraca;7;NA;NA;Tylosurus acus
vir;Actinopterygii;Belonidae;Tylosurus;acus;13;6;Insecta;Insecta;Arthropoda;Insecta;NA;NA;NA;NA;1.4;Insecta;Insecta;Insecta;7;NA;NA;Tylosurus acus
vir;Actinopterygii;Belonidae;Tylosurus;acus;13;6;Stomatopod larvae;Stomatopoda;Arthropoda;Malacostraca;Stomatopoda;NA;NA;NA;0.9;Zooplankton;Zooplankton;Zooplankton;7;NA;NA;Tylosurus acus
vir;Actinopterygii;Belonidae;Tylosurus;crocodilus;19;8;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;90.9;Actinopterygii;Fish;Actinopterygii;11;NA;NA;Tylosurus crocodilus
vir;Actinopterygii;Belonidae;Tylosurus;crocodilus;19;8;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;9.1;Decapoda;Shrimp;Malacostraca;11;NA;NA;Tylosurus crocodilus
vir;Actinopterygii;Hemiramphidae;Hemiramphus;balao;16;7;Jenkinsia_sp;Jenkinsia sp;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Jenkinsia;sp;39.1;Actinopterygii;Fish;Actinopterygii;9;NA;NA;Hemiramphus balao
vir;Actinopterygii;Hemiramphidae;Hemiramphus;balao;16;7;Cavolinids;Cavoliniidae;Mollusca;Gastropoda;Pteropoda;Cavoliniidae;NA;NA;31.4;Zooplankton;Zooplankton;Zooplankton;9;NA;NA;Hemiramphus balao
vir;Actinopterygii;Hemiramphidae;Hemiramphus;balao;16;7;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;8.9;Worm;Annelida;Polychaeta;9;NA;NA;Hemiramphus balao
vir;Actinopterygii;Hemiramphidae;Hemiramphus;balao;16;7;Crab_larvae;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;4.7;Zooplankton;Zooplankton;Zooplankton;9;NA;NA;Hemiramphus balao
vir;Actinopterygii;Hemiramphidae;Hemiramphus;balao;16;7;Shrimp_larvae;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;2.9;Zooplankton;Zooplankton;Zooplankton;9;NA;NA;Hemiramphus balao
vir;Actinopterygii;Hemiramphidae;Hemiramphus;balao;16;7;Copepods;Copepoda;Arthropoda;Hexanauplia;NA;NA;NA;NA;1.2;Copepoda;Copepoda;Hexanauplia;9;NA;NA;Hemiramphus balao
vir;Actinopterygii;Hemiramphidae;Hemiramphus;brasiliensis;39;0;Seagrass;Seagrass;Tracheophyta;NA;NA;NA;NA;NA;81;Benthic autotroph;Benthic autotroph;Seagrass;39;NA;NA;Hemiramphus brasiliensis
vir;Actinopterygii;Hemiramphidae;Hemiramphus;brasiliensis;39;0;Jenkinsia_sp;Jenkinsia sp;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Jenkinsia;sp;19;Actinopterygii;Fish;Actinopterygii;39;NA;NA;Hemiramphus brasiliensis
vir;Actinopterygii;Aulostomidae;Aulostomus;maculatus;80;11;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;73.5;Actinopterygii;Fish;Actinopterygii;69;NA;NA;Aulostomus maculatus
vir;Actinopterygii;Aulostomidae;Aulostomus;maculatus;80;11;Carideans;Caridea;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;26.5;Decapoda;Shrimp;Malacostraca;69;NA;NA;Aulostomus maculatus
vir;Actinopterygii;Holocentridae;Holocentrus;adscensionis;31;11;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;73.3;Decapoda;Crab;Malacostraca;20;NA;NA;Holocentrus adscensionis
vir;Actinopterygii;Holocentridae;Holocentrus;adscensionis;31;11;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;10.6;Decapoda;Shrimp;Malacostraca;20;NA;NA;Holocentrus adscensionis
vir;Actinopterygii;Holocentridae;Holocentrus;adscensionis;31;11;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;3.9;Worm;Annelida;Polychaeta;20;NA;NA;Holocentrus adscensionis
vir;Actinopterygii;Holocentridae;Holocentrus;adscensionis;31;11;Gastropods;Tricolia adamsi;Mollusca;Gastropoda;Trochida;Phasianellidae;Tricolia;adamsi;1;Gastropoda;Gastropoda;Gastropoda;20;NA;NA;Holocentrus adscensionis
vir;Actinopterygii;Holocentridae;Holocentrus;adscensionis;31;11;Isopods;Isopoda;Arthropoda;Malacostraca;Isopoda;NA;NA;NA;0.6;Peracarida;Isopoda;Malacostraca;20;NA;NA;Holocentrus adscensionis
vir;Actinopterygii;Holocentridae;Sargocentron;coruscum;24;5;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;70;Decapoda;Shrimp;Malacostraca;19;NA;NA;Sargocentron coruscum
vir;Actinopterygii;Holocentridae;Sargocentron;coruscum;24;5;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;27.3;Decapoda;Crab;Malacostraca;19;NA;NA;Sargocentron coruscum
vir;Actinopterygii;Holocentridae;Neoniphon;marianus;13;4;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;51.7;Decapoda;Shrimp;Malacostraca;9;NA;NA;Neoniphon marianus
vir;Actinopterygii;Holocentridae;Neoniphon;marianus;13;4;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;30.6;Decapoda;Crab;Malacostraca;9;NA;NA;Neoniphon marianus
vir;Actinopterygii;Holocentridae;Neoniphon;marianus;13;4;Stomatopod_larvae;Stomatopoda;Arthropoda;Malacostraca;Stomatopoda;NA;NA;NA;3.3;Zooplankton;Zooplankton;Zooplankton;9;NA;NA;Neoniphon marianus
vir;Actinopterygii;Holocentridae;Neoniphon;marianus;13;4;Copepods;Copepoda;Arthropoda;Hexanauplia;NA;NA;NA;NA;1.1;Copepoda;Copepoda;Hexanauplia;9;NA;NA;Neoniphon marianus
vir;Actinopterygii;Holocentridae;Holocentrus;rufus;55;13;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;56.9;Decapoda;Crab;Malacostraca;42;NA;NA;Holocentrus rufus
vir;Actinopterygii;Holocentridae;Holocentrus;rufus;55;13;Shrimp;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;15;Decapoda;Shrimp;Malacostraca;42;NA;NA;Holocentrus rufus
vir;Actinopterygii;Holocentridae;Holocentrus;rufus;55;13;Ophiurids;Ophiuroidea;Echinodermata;Ophiuroidea;NA;NA;NA;NA;7.1;Ophiuroidea;Ophiuroidea;Ophiuroidea;42;NA;NA;Holocentrus rufus
vir;Actinopterygii;Holocentridae;Holocentrus;rufus;55;13;Polychaetes;Polychaeta;Annelida;Polychaeta;NA;NA;NA;NA;4.5;Worm;Annelida;Polychaeta;42;NA;NA;Holocentrus rufus
vir;Actinopterygii;Holocentridae;Holocentrus;rufus;55;13;Exocorallina_antillensis;Excorallana antillensis;Arthropoda;Malacostraca;Isopoda;Corallanidae;Excorallana;antillensis;1.5;Peracarida;NA;NA;42;NA;NA;Holocentrus rufus
vir;Actinopterygii;Holocentridae;Holocentrus;rufus;55;13;Mysids;Mysida;Arthropoda;Malacostraca;Mysida;NA;NA;NA;1.4;Zooplankton;Zooplankton;Zooplankton;42;NA;NA;Holocentrus rufus
vir;Actinopterygii;Holocentridae;Holocentrus;rufus;55;13;Ostracods;Ostracoda;Arthropoda;Ostracoda;NA;NA;NA;NA;1.2;Zooplankton;Ostracoda;Ostracoda;42;NA;NA;Holocentrus rufus
vir;Actinopterygii;Holocentridae;Holocentrus;rufus;55;13;Fish;Fish;Chordata;Actinopterygii;NA;NA;NA;NA;1.2;Actinopterygii;Fish;Actinopterygii;42;NA;NA;Holocentrus rufus
vir;Actinopterygii;Holocentridae;Holocentrus;rufus;55;13;Acanthochitona_pygmaea;Acanthochitona pygmaea;Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Acanthochitona;pygmaea;0.6;Polyplacophora;Polyplacophora;Polyplacophora;42;NA;NA;Holocentrus rufus
vir;Actinopterygii;Holocentridae;Holocentrus;rufus;55;13;Stomatopod;Stomatopoda;Arthropoda;Malacostraca;Stomatopoda;NA;NA;NA;0.4;Stomatopoda;Stomatopoda;Malacostraca;42;NA;NA;Holocentrus rufus
vir;Actinopterygii;Holocentridae;Sargocentron;vexillarium;55;13;Crab;Crab;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;26.9;Decapoda;Crab;Malacostraca;42;NA;NA;Sargocentron vexillarium
vir;Actinopterygii;Holocentridae;Sargocentron;vexillarium;55;13;Gastropods;Gastropoda;Mollusca;Gastropoda;NA;NA;NA;NA;25.1;Gastropoda;Gastropoda;Gastropoda;42;NA;NA;Sargocentron vexillarium
vir;Actinopterygii;Holocentridae;Sargocentron;vexillarium;55;13;shrimp_larvae;Shrimp;Arthropoda;Malacostraca;Decapoda;NA;NA;NA;20.8;Zooplankton;Zooplankton;Zooplankton;42;NA;NA;Sargocentron vexillarium
vir;Actinopterygii;Holocentridae;Sargocentron;vexillarium;55;13;Choneplax_lata;Choneplax lata;Mollusca;Polyplacophora;Chitonida;Acanthochitonidae;Choneplax;lata;10.3;Polyplacophora;Polyplacophora;Polyplacophora;42;NA;NA;Sargocentron vexillarium
vir;Actinopterygii;Holocentridae;Sargocentron;vexillarium;55;13;Isopods;Isopoda;Arthropoda;Malacostraca;Isopoda;NA;NA;NA;5.7;Peracarida;Isopoda;Malacostraca;42;NA;NA;Sargocentron vexillarium
vir;Actinopterygii;Holocentridae;Sargocentron;vexillarium;55;13;Acanthurus_sp;Acanthurus sp;Chordata;Actinopterygii;Acanthuriformes;Acanthuridae;Acanthurus;sp;5.2;Actinopterygii;Fish;Actinopterygii;42;NA;NA;Sargocentron vexillarium
