"","Ginglymostomatidae","Dasyatidae","Mylobatidae","Clupeidae","Synodontidae","Muraenidae","Ophichthidae","Congridae","Belonidae","Hemiramphidae","Aulostomidae","Holocentridae","Mugilidae","Sphyraenidae","Atherinidae","Serranidae","Cirrhitidae","Apogonidae","Priacanthidae","Pempheridae","Haemulidae","Lutjanidae","Sparidae","Kyphosidae","Gerreidae","Sciaenidae","Mullidae","Malacanthidae","Echeneidae","Carangidae","Scombridae","Pomacentridae","Labridae","Bothidae","Gobiidae","Blenniidae","Labrisomidae","Clinidae","Opistognathidae","Scorpaenidae","Dactylopteridae","Ephippidae","Chaetodontidae","Pomacanthidae","Acanthuridae","Balistidae","Monacanthidae","Ostraciidae","Tetraodontidae","Diodontidae","Antennariidae","Ogcocephalidae","Moringuidae","Syngnathidae","Fistulariidae","Polynemidae","Plesiopidae","Lethrinidae","Siganidae","Platycephalidae","Pinguipedidae","Bythitidae","Callionymidae","Pseudochromidae","Gobiesocidae","Tripterygiidae","Ophidiidae","Zanclidae","Carcharhinidae","Elopidae","Megalopidae","Albulidae","Chirocentridae","Chanidae","Sphyrnidae","Terapontidae","Sillaginidae","Leiognathidae","Nemipteridae","Monodactylidae","Drepaneidae","Platacidae","Scatophagidae","Trichiuridae"
"Phytoplankton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172129898285834,0.0180492131331425,0,0,0.333333333333333,0,0,0,0,0,0,0,0.192307692307692,0,0,0.0644187216825095,0,0.0312288765673359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polyplacophora",0,0,0,0,0,0,0,0,0,0,0,0.00406083828071531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0177395598653643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Porifera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0545078011381916,0,0,0,0,0,0,0,0,0,0,0.0181071688053138,0.384615384615385,0,0.0569525310936171,0.0382486160465492,0.0833333333333333,0.0685413005552315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17518248174671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pycnogonida",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0172129898285834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Scaphopoda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Solenogastres",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stomatopoda",0,0,0,0,0,0,0,0,0,0,0,0.0515810228558931,0,0,0,0,0,0,0.036363636627438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tunicata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034719666902025,0,0,0,0,0,0,0,0,0,0.0016202646908717,0,0,0.0640715974723103,0.0845495721977251,0.25,0.12836284977435,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0.014598540087165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Worm",0,0,0,0,0,0,0,0,0,0,0,0.099637895698656,0,0,0,0,0,0.0230084118463131,0,0,0,0,0,0,0,0,0.056857563668765,0,0,0,0,0.116904889266806,0.0474678189732148,0,0,0,0,0,0,0,0,0,0.119071738617749,0,0.174700744149146,0.0605120642509279,0.0402617010304311,0.166666666666667,0.039745842912399,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0,0.0583941605238425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Zooplankton",0,0,0,0,0,0,0,0,0,0,0,0.222511707665773,0,0,0.2,0,0.0671032388162942,0.306531420136721,0.327272727356033,0,0,0,0,0,0,0,0.118487716797431,0,0,0.166666666666667,0,0.182024379072773,0.110218558396141,0,0,0,0,0,0,0,0,0,0.164122572098859,0.0384615384615385,0.359430604895167,0.101472121213992,0.0513336688574836,0.0833333333333333,0.0217655806700154,0,0,0,0,0,0,0,0,0.0645161290322581,0,0,0,0,0,0,0,0,0.222222222222222,0.05109489048026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
