"","Family","nom","item","mean_length","max_length","min_length","nb_sample","nb_guts","n","freq_item","item_raw","item_family","item_ord","item_class","item_phylum","item_kingdom","site_code","class","fish_sp","genus_cor","sp_cor"
"44","Belonidae","Tylosurus crocodilus crocodilus","Poisson",519.483870967742,880,295,31,14,13,0.928571428571429,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Tylosurus crocodilus","Tylosurus","crocodilus"
"45","Holocentridae","Myripristis berndti","crevettes",160.6,225,45,85,2,2,1,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Myripristis berndti","Myripristis","berndti"
"46","Holocentridae","Neoniphon argenteus","squilles",122.017543859649,165,45,57,2,2,1,"Stomatopoda",NA,"Stomatopoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Neoniphon argenteus","Neoniphon","argenteus"
"47","Holocentridae","Neoniphon sammara","crevettes",105.752212389381,190,45,113,8,6,0.75,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Neoniphon sammara","Neoniphon","sammara"
"48","Holocentridae","Neoniphon sammara","crabes",105.752212389381,190,45,113,8,3,0.375,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Neoniphon sammara","Neoniphon","sammara"
"49","Holocentridae","Neoniphon sammara","Poisson",105.752212389381,190,45,113,8,1,0.125,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Neoniphon sammara","Neoniphon","sammara"
"50","Holocentridae","Sargocentron diadema","crevettes",88.4271523178808,150,50,302,4,2,0.5,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Sargocentron diadema","Sargocentron","diadema"
"51","Holocentridae","Sargocentron diadema","ophiure",88.4271523178808,150,50,302,4,1,0.25,"Ophiuroidea",NA,NA,"Ophiuroidea","Echinodermata","Animalia","nca","Actinopterygii","Sargocentron diadema","Sargocentron","diadema"
"52","Holocentridae","Sargocentron rubrum","Poisson",149.084558823529,230,10,272,80,9,0.1125,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Sargocentron rubrum","Sargocentron","rubrum"
"53","Holocentridae","Sargocentron rubrum","crevettes",149.084558823529,230,10,272,80,9,0.1125,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Sargocentron rubrum","Sargocentron","rubrum"
"54","Holocentridae","Sargocentron rubrum","crabes",149.084558823529,230,10,272,80,51,0.6375,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Sargocentron rubrum","Sargocentron","rubrum"
"55","Holocentridae","Sargocentron spniferum","crabes",237.23275862069,315,115,116,35,22,0.628571428571429,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Sargocentron spiniferum","Sargocentron","spiniferum"
"56","Holocentridae","Sargocentron spniferum","crevettes",237.23275862069,315,115,116,35,4,0.114285714285714,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Sargocentron spiniferum","Sargocentron","spiniferum"
"57","Holocentridae","Sargocentron spniferum","vers",237.23275862069,315,115,116,35,1,0.0285714285714286,"Worms",NA,NA,NA,NA,"Animalia","nca","Actinopterygii","Sargocentron spiniferum","Sargocentron","spiniferum"
"58","Holocentridae","Sargocentron spniferum","nudibranche",237.23275862069,315,115,116,35,1,0.0285714285714286,"Nudibranchia",NA,"Nudibranchia","Gastropoda","Mollusca","Animalia","nca","Actinopterygii","Sargocentron spiniferum","Sargocentron","spiniferum"
"59","Holocentridae","Sargocentron spniferum","Poisson",237.23275862069,315,115,116,35,3,0.0857142857142857,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Sargocentron spiniferum","Sargocentron","spiniferum"
"60","Holocentridae","Sargocentron spniferum","céphalopode",237.23275862069,315,115,116,35,1,0.0285714285714286,"Cephalopoda",NA,NA,"Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Sargocentron spiniferum","Sargocentron","spiniferum"
"61","Holocentridae","Sargocentron spniferum","crustacé",237.23275862069,315,115,116,35,3,0.0857142857142857,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Sargocentron spiniferum","Sargocentron","spiniferum"
"62","Holocentridae","Sargocentron spniferum","bivalves",237.23275862069,315,115,116,35,1,0.0285714285714286,"Bivalvia",NA,NA,"Bivalvia","Mollusca","Animalia","nca","Actinopterygii","Sargocentron spiniferum","Sargocentron","spiniferum"
"63","Holocentridae","Sargocentron spniferum","bernard l'hermite",237.23275862069,315,115,116,35,1,0.0285714285714286,"Paguroidea",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Sargocentron spiniferum","Sargocentron","spiniferum"
"64","Aulostomidae","Aulostomus chinensis","Poisson",522,650,415,5,2,2,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Aulostomus chinensis","Aulostomus","chinensis"
"65","Dactylopteridae","Dactyloptena orientalis","crabes",157.5,315,75,6,3,1,0.333333333333333,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Dactyloptena orientalis","Dactyloptena","orientalis"
"66","Dactylopteridae","Dactyloptena orientalis","crevettes",157.5,315,75,6,3,1,0.333333333333333,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Dactyloptena orientalis","Dactyloptena","orientalis"
"67","Scorpaenidae","Dendrochirus brachypterus","crevettes",89.21875,120,40,32,14,9,0.642857142857143,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Dendrochirus brachypterus","Dendrochirus","brachypterus"
"68","Scorpaenidae","Dendrochirus brachypterus","crabes",89.21875,120,40,32,14,2,0.142857142857143,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Dendrochirus brachypterus","Dendrochirus","brachypterus"
"69","Scorpaenidae","Dendrochirus brachypterus","bernard l'hermite",89.21875,120,40,32,14,3,0.214285714285714,"Paguroidea",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Dendrochirus brachypterus","Dendrochirus","brachypterus"
"70","Scorpaenidae","Pterois lunulata","Poisson",291.25,310,280,4,4,1,0.25,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Pterois lunulata","Pterois","lunulata"
"71","Scorpaenidae","Pterois lunulata","crabes",291.25,310,280,4,4,4,1,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Pterois lunulata","Pterois","lunulata"
"72","Scorpaenidae","Pterois volitans","Poisson",142.5,170,115,2,1,1,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Pterois volitans","Pterois","volitans"
"73","Platycephalidae","Onigocia macrolepis","crustacé",132.564102564103,170,60,39,11,2,0.181818181818182,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Onigocia macrolepis","Onigocia","macrolepis"
"74","Platycephalidae","Onigocia macrolepis","gastéropodes",132.564102564103,170,60,39,11,1,0.0909090909090909,"Gastropoda",NA,NA,"Gastropoda","Mollusca","Animalia","nca","Actinopterygii","Onigocia macrolepis","Onigocia","macrolepis"
"75","Platycephalidae","Onigocia macrolepis","crevettes",132.564102564103,170,60,39,11,6,0.545454545454545,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Onigocia macrolepis","Onigocia","macrolepis"
"76","Platycephalidae","Onigocia macrolepis","crabes",132.564102564103,170,60,39,11,2,0.181818181818182,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Onigocia macrolepis","Onigocia","macrolepis"
"77","Platycephalidae","Platycephalus sp","crevettes",81.5,85,78,2,1,1,1,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Platycephalus sp","Platycephalus","sp"
"78","Platycephalidae","Cymbacephalus staigeri","Poisson",361.25,520,195,12,5,5,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Cymbacephalus staigeri","Cymbacephalus","staigeri"
"79","Serranidae","Anyperodon leucogrammicus","Poisson",432.727272727273,510,305,11,4,4,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Anyperodon leucogrammicus","Anyperodon","leucogrammicus"
"80","Serranidae","Cephalopholis argus","Poisson",356.923076923077,440,255,13,3,2,0.666666666666667,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Cephalopholis argus","Cephalopholis","argus"
"81","Serranidae","Cephalopholis boenak","Poisson",153.255813953488,305,55,86,5,5,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Cephalopholis boenak","Cephalopholis","boenak"
"82","Serranidae","Cephalopholis boenak","crevettes",153.255813953488,305,55,86,5,2,0.4,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Cephalopholis boenak","Cephalopholis","boenak"
"83","Serranidae","Cephalopholis miniata","Poisson",340.8375,455,230,80,21,15,0.714285714285714,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Cephalopholis miniata","Cephalopholis","miniata"
"84","Serranidae","Cephalopholis sonnerati","Poisson",363.718309859155,500,240,71,24,4,0.166666666666667,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Cephalopholis sonnerati","Cephalopholis","sonnerati"
"85","Serranidae","Cephalopholis urodeta","Poisson",203,255,150,15,2,1,0.5,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Cephalopholis urodeta","Cephalopholis","urodeta"
"86","Serranidae","Epinephelus areolatus","crabes",290.538812785388,425,60,219,34,7,0.205882352941176,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus areolatus","Epinephelus","areolatus"
"87","Serranidae","Epinephelus areolatus","Poisson",290.538812785388,425,60,219,34,5,0.147058823529412,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Epinephelus areolatus","Epinephelus","areolatus"
"88","Serranidae","Epinephelus areolatus","crevettes",290.538812785388,425,60,219,34,2,0.0588235294117647,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus areolatus","Epinephelus","areolatus"
"89","Serranidae","Epinephelus coeruleopunctatus","crabes",243.703703703704,690,35,27,12,11,0.916666666666667,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus coeruleopunctatus","Epinephelus","coeruleopunctatus"
"90","Serranidae","Epinephelus coeruleopunctatus","Poisson",243.703703703704,690,35,27,12,4,0.333333333333333,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Epinephelus coeruleopunctatus","Epinephelus","coeruleopunctatus"
"91","Serranidae","Epinephelus coeruleopunctatus","crevettes",243.703703703704,690,35,27,12,4,0.333333333333333,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus coeruleopunctatus","Epinephelus","coeruleopunctatus"
"92","Serranidae","Epinephelus cyanopodus","crabes",491.842931937173,760,95,191,86,14,0.162790697674419,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus cyanopodus","Epinephelus","cyanopodus"
"93","Serranidae","Epinephelus cyanopodus","Poisson",491.842931937173,760,95,191,86,32,0.372093023255814,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Epinephelus cyanopodus","Epinephelus","cyanopodus"
"94","Serranidae","Epinephelus cyanopodus","bivalves",491.842931937173,760,95,191,86,3,0.0348837209302326,"Bivalvia",NA,NA,"Bivalvia","Mollusca","Animalia","nca","Actinopterygii","Epinephelus cyanopodus","Epinephelus","cyanopodus"
"95","Serranidae","Epinephelus cyanopodus","crevettes",491.842931937173,760,95,191,86,5,0.0581395348837209,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus cyanopodus","Epinephelus","cyanopodus"
"96","Serranidae","Epinephelus cyanopodus","crustacé",491.842931937173,760,95,191,86,1,0.0116279069767442,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Epinephelus cyanopodus","Epinephelus","cyanopodus"
"97","Serranidae","Epinephelus cyanopodus","squilles",491.842931937173,760,95,191,86,3,0.0348837209302326,"Stomatopoda",NA,"Stomatopoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus cyanopodus","Epinephelus","cyanopodus"
"98","Serranidae","Epinephelus cyanopodus","céphalopode",491.842931937173,760,95,191,86,3,0.0348837209302326,"Cephalopoda",NA,NA,"Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Epinephelus cyanopodus","Epinephelus","cyanopodus"
"99","Serranidae","Epinephelus fasciatus","crustacé",222.65,365,100,120,47,2,0.0425531914893617,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Epinephelus fasciatus","Epinephelus","fasciatus"
"100","Serranidae","Epinephelus fasciatus","crabes",222.65,365,100,120,47,20,0.425531914893617,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus fasciatus","Epinephelus","fasciatus"
"101","Serranidae","Epinephelus fasciatus","Poisson",222.65,365,100,120,47,6,0.127659574468085,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Epinephelus fasciatus","Epinephelus","fasciatus"
"102","Serranidae","Epinephelus fasciatus","ophiure",222.65,365,100,120,47,1,0.0212765957446809,"Ophiuroidea",NA,NA,"Ophiuroidea","Echinodermata","Animalia","nca","Actinopterygii","Epinephelus fasciatus","Epinephelus","fasciatus"
"103","Serranidae","Epinephelus fasciatus","crevettes",222.65,365,100,120,47,1,0.0212765957446809,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus fasciatus","Epinephelus","fasciatus"
"104","Serranidae","Epinephelus fuscoguttatus","Poisson",694.631578947368,1000,185,19,1,1,1,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Epinephelus fuscoguttatus","Epinephelus","fuscoguttatus"
"105","Serranidae","Epinephelus macrosplos","crabes",261.413793103448,410,110,58,23,8,0.347826086956522,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus macrospilos","Epinephelus","macrospilos"
"106","Serranidae","Epinephelus macrosplos","Poisson",261.413793103448,410,110,58,23,4,0.173913043478261,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Epinephelus macrospilos","Epinephelus","macrospilos"
"107","Serranidae","Epinephelus macrosplos","crevettes",261.413793103448,410,110,58,23,1,0.0434782608695652,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus macrospilos","Epinephelus","macrospilos"
"108","Serranidae","Epinephelus macrosplos","crustacé",261.413793103448,410,110,58,23,1,0.0434782608695652,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Epinephelus macrospilos","Epinephelus","macrospilos"
"109","Serranidae","Epinephelus howlandi","crevettes",247.6,360,84,45,3,1,0.333333333333333,"Shrimp",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus howlandi","Epinephelus","howlandi"
"110","Serranidae","Epinephelus howlandi","crabes",247.6,360,84,45,3,1,0.333333333333333,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus howlandi","Epinephelus","howlandi"
"111","Serranidae","Epinephelus howlandi","Poisson",247.6,360,84,45,3,1,0.333333333333333,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Epinephelus howlandi","Epinephelus","howlandi"
"112","Serranidae","Epinephelus lanceolatus","crabes",577.5,895,195,4,2,2,1,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus lanceolatus","Epinephelus","lanceolatus"
"113","Serranidae","Epinephelus maculatus","Poisson",376.909224011713,605,65,683,421,46,0.109263657957245,"Actinopterygii",NA,NA,"Actinopterygii","Chordata","Animalia","nca","Actinopterygii","Epinephelus maculatus","Epinephelus","maculatus"
"114","Serranidae","Epinephelus maculatus","crabes",376.909224011713,605,65,683,421,37,0.0878859857482185,"Crab",NA,"Decapoda","Malacostraca","Arthropoda","Animalia","nca","Actinopterygii","Epinephelus maculatus","Epinephelus","maculatus"
"115","Serranidae","Epinephelus maculatus","crustacé",376.909224011713,605,65,683,421,15,0.0356294536817102,"Crustacea",NA,NA,NA,"Arthropoda","Animalia","nca","Actinopterygii","Epinephelus maculatus","Epinephelus","maculatus"
"116","Serranidae","Epinephelus maculatus","céphalopode",376.909224011713,605,65,683,421,7,0.0166270783847981,"Cephalopoda",NA,NA,"Cephalopoda","Mollusca","Animalia","nca","Actinopterygii","Epinephelus maculatus","Epinephelus","maculatus"
"117","Serranidae","Epinephelus maculatus","bivalves",376.909224011713,605,65,683,421,10,0.0237529691211401,"Bivalvia",NA,NA,"Bivalvia","Mollusca","Animalia","nca","Actinopterygii","Epinephelus maculatus","Epinephelus","maculatus"
